outcome,nobs,missingness_handling,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.5198957863764021,0.9151368247477981,0.19762051918569798,abcd_peer_adversity,site8,0.19762051918569798,0.36607974773576535,0.5398291503640883,0.5895710745432481
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.8733686737897463,0.7289530613217196,-0.07220780623401334,abcd_peer_adversity,site9,-0.07220780623401334,0.4087555446712923,-0.1766527871617753,0.8598573846435043
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.6968772658338247,0.7274991394049091,0.015310936785542194,abcd_peer_adversity,site10,0.015310936785542194,0.3633613278670239,0.042136946370763484,0.9664074597908763
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.846012398887109,0.9615352633629232,0.057761432237907126,abcd_peer_adversity,site11,0.057761432237907126,0.4611090975127633,0.12526630367840078,0.900366403601792
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.8323611788526573,0.86159312592145465,0.014615973534398677,abcd_peer_adversity,site12,0.014615973534398677,0.4321312001974775,0.033822999884570694,0.9730326848669191
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.22839157596974802,1.272990520526006,0.5222994722781289,abcd_peer_adversity,site13,0.5222994722781289,0.3830056368611617,1.363686123678281,0.17332053455129176
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.8939068473954457,0.6188280162318693,-0.13753941558178823,abcd_peer_adversity,site14,-0.13753941558178823,0.38590175092533546,-0.356410447094342,0.7216934870848317
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.7741104690702488,0.8457237129928387,0.03580662196129495,abcd_peer_adversity,site15,0.03580662196129495,0.41322300562833864,0.08665205342778076,0.9309850705866488
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.6908754863932108,0.787026404293104,0.04807545894994658,abcd_peer_adversity,site16,0.04807545894994658,0.37701578844038647,0.12751577102068298,0.8985868463457118
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.5475165951812332,1.0198367310731875,0.2361600679459771,abcd_peer_adversity,site17,0.2361600679459771,0.39983503220776034,0.5906437628588401,0.5550436403207689
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.3743346573120043,1.1538556207968251,0.3897604817424104,abcd_peer_adversity,site18,0.3897604817424104,0.389844458701232,0.999784588553339,0.31793030850517173
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.9977971981325086,0.46093505252675293,-0.2684310728028778,abcd_peer_adversity,site19,-0.2684310728028778,0.3721255741477708,-0.7213454044851108,0.47105646349867203
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.6342059880912851,0.9005108983249812,0.13315245511684803,abcd_peer_adversity,site20,0.13315245511684803,0.39150940980006793,0.3401002677939337,0.7339332868701909
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.48786948095280525,0.9866241147273243,0.2493773168872595,abcd_peer_adversity,site21,0.2493773168872595,0.3761463254286045,0.6629795375592291,0.5076693591617555
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.18717591385619325,0.01600420204810768,-0.08558585590404279,abcd_peer_adversity,field_index,-0.08558585590404279,0.051831662220484936,-1.6512273046535155,0.09936155443794066
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.1167332377336947,0.03724109930908645,-0.03974606921230413,abcd_peer_adversity,peer_adversity,-0.03974606921230413,0.03927916761295438,-1.0118867488219319,0.3121139500344828
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.08055247879492512,0.073244273382179,-0.003654102706373062,abcd_peer_adversity,precision_index,-0.003654102706373062,0.03923386535130207,-0.09313644408100084,0.9258349370696514
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.11498693134065215,0.0807362818265611,-0.017125324757045524,abcd_peer_adversity,field_index:peer_adversity,-0.017125324757045524,0.049929391114085016,-0.34299085918983885,0.7317590176325385
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.06896219267236134,0.07697851385771048,0.004008160592674574,abcd_peer_adversity,peer_adversity:precision_index,0.004008160592674574,0.03722977207399791,0.1076600894764532,0.9143113691688165
