outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 youth BPM internalising,-0.08041619007179239,0.2482684321890652,,combined,(Intercept),0.08392612105863641,0.08384811792368817,1.0009302908267927,0.31691317081143333,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.07559029623347426,-0.002871827867526544,-0.0392310620505004,combined,neighborhood_risk_z,-0.0392310620505004,0.018550629685190743,-2.114810263385246,0.03450219836475888,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.24839361857855113,0.11747507007730595,-0.06545927425062259,combined,site2,-0.06545927425062259,0.09333384914690232,-0.7013454909332337,0.4831245212657439,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.24319613032761772,0.13954970223688945,-0.05182321404536413,combined,site3,-0.05182321404536413,0.09763924300114979,-0.5307621449375008,0.5956104027357082,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,0.01182521781372492,0.3754933088536577,0.19365926333369132,combined,site4,0.19365926333369132,0.0927724722040645,2.087464726688687,0.03690353919861667,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.2041100740692327,0.19980687396609087,-0.002151600051570917,combined,site5,-0.002151600051570917,0.10304003776411316,-0.020881204027666585,0.9833413671840072,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.047800234176160666,0.32084329202383066,0.13652152892383498,combined,site6,0.13652152892383498,0.09404171586734472,1.4517124412788502,0.14665287396401439,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.17174921370231946,0.251936633609633,0.04009370995365676,combined,site7,0.04009370995365676,0.1080831243142736,0.3709525442387858,0.7106907364715891,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.04144937150381428,0.4127836619864762,0.18566714524133096,combined,site8,0.18566714524133096,0.1158757738495639,1.6022947599243127,0.10916222493456416,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.14741958149930443,0.297986772135892,0.07528359531829376,combined,site9,0.07528359531829376,0.11362406980489703,0.6625673191214028,0.507642410021854,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.07369997398580597,0.27666162518581405,0.10148082560000404,combined,site10,0.10148082560000404,0.08937795897235205,1.1354122063963874,0.2562644910441988,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
