outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 parent-reported internalising,-0.041409820488292115,0.3511705953387346,0.15488038742522126,combined,site8,0.15488038742522126,0.10014806526199661,1.546514024210451,0.12204611254149962,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.2348035940485404,0.18020757885843658,-0.0272980075950519,combined,site9,-0.0272980075950519,0.10587019717014719,-0.25784411784159095,0.7965382196557336,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.03562239656637223,0.2804772064526472,0.12242740494313747,combined,site10,0.12242740494313747,0.08063765383138251,1.518241158146038,0.12901918584405936,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.022685590711445408,0.4337741662351845,0.20554428776186953,combined,site11,0.20554428776186953,0.11644381554760967,1.7651799436083395,0.07759682713813967,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.04272563190000456,0.29945107447865954,0.1283627212893275,combined,site12,0.1283627212893275,0.08728997611700615,1.4705322076989251,0.14148292982902516,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.060915216020351076,0.403295848937553,0.23210553247895202,combined,site13,0.23210553247895202,0.08734199819316375,2.657433277008756,0.007899787591399152,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.01612486949215136,0.31958859055065375,0.1517318605292512,combined,site14,0.1517318605292512,0.08564118878642987,1.7717159544297874,0.07650487588138404,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.14039443730782095,0.23868514747986716,0.049145355086023114,combined,site15,0.049145355086023114,0.09670397571114493,0.5082040808003637,0.6113334812153944,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.006712139537866896,0.31260915207327444,0.1529485062677038,combined,site16,0.1529485062677038,0.08145951316610749,1.8776015264886265,0.060496021264865606,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.0032855104686381476,0.33638199008406,0.16983375027634906,combined,site17,0.16983375027634906,0.08497359173862802,1.998665077012916,0.045700657380674664,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.07335573523118036,0.4282160384071625,0.2507858868191714,combined,site18,0.2507858868191714,0.0905255875448934,2.770331500967081,0.005621373953077994,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.11265534699402616,0.22255189909575615,0.054948276050865004,combined,site19,0.054948276050865004,0.08551205257392407,0.642579313639594,0.5205276661240834,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.002142880824895721,0.3319042406398151,0.1648806799074597,combined,site20,0.1648806799074597,0.08521610241446705,1.9348535691708435,0.0530666936439355,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.06827877116940391,0.26457351083030306,0.09814736983044957,combined,site21,0.09814736983044957,0.08491129642849668,1.1558811837609724,0.2477870389301397,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.09315133127189659,-0.03870362631329135,-0.06592747879259397,combined,field_index,-0.06592747879259397,0.01388972065270542,-4.746494219792154,2.1296300647363445e-6,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.051688242861180164,-0.010234665486329526,-0.030961454173754843,combined,precision_index,-0.030961454173754843,0.010574892187461897,-2.9278269342986056,0.0034293732266228645,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
